Species,Subspecies,Strain,Platform,Centre,Replicate,Planned read length (bp),Chip,Mode,Fragment/insert size,Accession,URL,Reference,Isolation Date,Country of Origin,,Clinical Details,SRA SRP number,SRA Experiment,SRA Study
Escherichia coli,K12,MG1655,454 GS FLX,J. Craig Venter Institute,1,250,,Fragment,,SRA001028,,,,,,,,,
Escherichia coli,K12,MG1655,454 GS FLX,J. Craig Venter Institute,1,250,,Mate-pair,3500,SRA001028,,,,,,,,,
Escherichia coli,K12,MG1655,"Illumina GAII, HiSeq2000, MiSeq, PacBio",Broad Institute,1,,,Paired end,,SRP001087 (111 entries),,,,,,,,,
Escherichia coli,K12,MG1655,Ion Torrent PGM,Broad Institute,1,,316,Fragment,?,SRR515925,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR515/SRR515925/SRR515925.fastq.gz,,,,,,,,
Escherichia coli,K12,MG1655,Ion Torrent PGM,Broad Institute,2,,316,,,SRR515926,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR515/SRR515926/SRR515926.fastq.gz,,,,,,,,
Escherichia coli,K12,MG1655,Ion Torrent PGM,Broad Institute,3,,316,,,SRR515927,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR515/SRR515927/SRR515927.fastq.gz,,,,,,,,
Escherichia coli,K12,MG1655,Illumina HiSeq 2000,Broad Institute,1,2x100,,Paired end,180,"Broad ftp, data for ALLPATHS_LG paper",ftp://ftp.broadinstitute.org/pub/papers/assembly/Ribeiro2012/data/,,,,,,,,
Escherichia coli,K12,MG1655,Illumina HiSeq 2000,Broad Institute,1,2x100,,Mate-pair,3000,"Broad ftp, data for ALLPATHS_LG paper",,,,,,,,,
Escherichia coli,K12,MG1655,Illumina MiSeq,"Illumina, UK",1,2x151,,,,Illumina site,"ftp://webdata:webdata@ussd-ftp.illumina.com/Data/SequencingRuns/MG1655/MiSeq_Ecoli_MG1655_110721_PF_R1.fastq.gz,ftp://webdata:webdata@ussd-ftp.illumina.com/Data/SequencingRuns/MG1655/MiSeq_Ecoli_MG1655_110721_PF_R2.fastq.gz",http://www.illumina.com/systems/miseq/scientific_data.ilmn,,,,,,,
Escherichia coli,K12,MG1655,Ion Torrent,Broad Institute,1,"100, 200",?,Fragment,,r,,,,,,,,,
Escherichia coli,K12,MG1655,Ion Torrent,Life Technologies,1,100,314,Fragment,,Ion Community,http://ioncommunity.lifetechnologies.com/docs/DOC-2492,,,,,,,,
Escherichia coli,K12,MG1655,Ion Torrent,Life Technologies,1,200,316,Fragment,,Ion Community,http://ioncommunity.lifetechnologies.com/docs/DOC-2265,,,,,,,,
Escherichia coli,K12,MG1655,Ion Torrent,Life Technologies,1,200,316,Paired end,3500,Ion Community,http://ioncommunity.lifetechnologies.com/docs/DOC-2265,,,,,,,,
